idx psi rho log_likelihood
314 4.4 0.8225 -512990.53
315 1.6 0.8225 -512990.53
316 1.71 0.7775 -3882.949
317 2.03 0.8075 -357304.44
318 4.4 0.8225 -512990.53
319 1.6 0.8225 -512990.53
320 1.71 0.7775 -3882.949
321 2.03 0.8075 -357304.44
322 4.4 0.8225 -512990.53
323 1.6 0.8225 -512990.53
324 1.71 0.7775 -3882.949
325 2.03 0.8075 -357304.44
326 4.4 0.8225 -512990.53
327 1.6 0.8225 -512990.53
328 1.71 0.7775 -3882.949
329 2.03 0.8075 -357304.44
330 4.4 0.8225 -512990.53
331 1.6 0.8225 -512990.53
332 1.71 0.7775 -3882.949
333 2.03 0.8075 -357304.44
334 4.4 0.8225 -512990.53
335 1.6 0.8225 -512990.53
336 1.71 0.7775 -3882.949
337 2.03 0.8075 -357304.44
338 4.4 0.8225 -512990.53
339 1.6 0.8225 -512990.53
340 1.71 0.7775 -3882.949
341 2.03 0.8075 -357304.44
342 4.4 0.8225 -512990.53
343 1.6 0.8225 -512990.53
344 1.71 0.7775 -3882.949
345 2.03 0.8075 -357304.44
346 4.4 0.8225 -512990.53
347 1.6 0.8225 -512990.53
348 1.71 0.7775 -3882.949
349 2.03 0.8075 -357304.44
350 4.4 0.8225 -512990.53
351 1.6 0.8225 -512990.53
352 1.71 0.7775 -3882.949
353 2.03 0.8075 -357304.44
354 4.4 0.8225 -512990.53
355 1.6 0.8225 -512990.53
356 1.71 0.7775 -3882.949
357 2.03 0.8075 -357304.44
358 4.4 0.8225 -512990.53
359 1.6 0.8225 -512990.53
360 1.71 0.7775 -3882.949
361 2.03 0.8075 -357304.44
362 4.4 0.8225 -512990.53
363 1.6 0.8225 -512990.53
364 1.71 0.7775 -3882.949
365 2.03 0.8075 -357304.44
366 4.4 0.8225 -512990.53
367 1.6 0.8225 -512990.53
368 1.71 0.7775 -3882.949
369 2.03 0.8075 -357304.44
370 4.4 0.8225 -512990.53
371 1.6 0.8225 -512990.53
372 1.71 0.7775 -3882.949
373 2.03 0.8075 -357304.44
374 4.4 0.8225 -512990.53
